area_type,availability,location,id,size,society,total_sqft,bath,balcony,price
Carpet  Area,Ready To Move,Muneshwara Nagar,333,2,,1230,2,3,48
Super built-up  Area,Ready To Move, Devarachikkanahalli,334,2,Clntsrt,1250,2,2,40
Super built-up  Area,Ready To Move,Kalena Agrahara,335,2,PuamaPa,1325,2,2,76
Built-up  Area,Ready To Move,7th Phase JP Nagar,336,3,Brngsal,1850,3,1,150
Super built-up  Area,21-Dec,Kanakpura Road,337,1,PrarePa,525,,,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,338,2,,1200,2,2,65
Plot  Area,Ready To Move,Bull Temple Road,339,3,,1350,2,0,140
Super built-up  Area,18-Jun,Bommasandra,340,3,SSestth,1260,3,1,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,341,3,Vancy R,1800,3,0,150
Plot  Area,18-Dec,Suragajakkanahalli,342,3,PrhyaK ,11,3,2,74
Built-up  Area,Ready To Move,Ardendale,343,2,Miwel M,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,344,2,SrEndPo,1508,2,1,77
Carpet  Area,Ready To Move,Sampigehalli,345,3,Puens G,1592,3,2,75
Super built-up  Area,Ready To Move,Akshaya Nagar,346,2,SagasSa,1388,2,3,57
Super built-up  Area,18-May,Electronic City Phase II,347,1,SNbay G,630,1,1,28.35
Plot  Area,Ready To Move,RMV,348,3,,2000,3,2,365
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,349,3,,1762,3,1,125
Super built-up  Area,21-Dec,Bagalur Main Road,350,2,,950,2,2,50
Super built-up  Area,Ready To Move,Kodihalli,351,4,Soianal,3252,5,3,335
Super built-up  Area,18-Aug,Magadi Road,352,2,Vrenty ,1116,2,1,50
Super built-up  Area,Ready To Move,Narayanapura,353,2,AriosHe,1308,2,2,89.04
Super built-up  Area,Ready To Move,MS Pallya,354,3,,1200,3,0,90
Plot  Area,Ready To Move,Binny Mills Employees Colony,355,4,,1500,4,2,230
Built-up  Area,Ready To Move,Bannerghatta Road,356,1,,500,1,1,18.5
Super built-up  Area,Ready To Move,Hennur,357,2,SLureSi,1075,2,1,52
Super built-up  Area,18-Mar,Chandapura,358,1,Siissi ,530,1,0,11.66
Built-up  Area,Ready To Move,Bellandur,359,2,,1205,2,3,66
Super built-up  Area,Ready To Move,5th Phase JP Nagar,360,2,Mangsr ,1075,2,2,60
Built-up  Area,Ready To Move,KR Puram,361,2,HovasTe,930,2,2,39
Super built-up  Area,Ready To Move,Balagere,362,2,Exncene,1380,2,1,60
Super built-up  Area,Ready To Move,Hebbal,363,4,Prersis,2483,5,2,212
Built-up  Area,Ready To Move,Kodigehaali,364,2,Shyas S,1166,2,2,55
Super built-up  Area,Ready To Move,Bannerghatta Road,365,2,NadelCi,1050,2,1,65
Super built-up  Area,19-Mar,Gopalapura,366,3,Sothadr,2023.71,3,2,275
Super built-up  Area,Ready To Move,Begur Road,367,2,Dhalsh ,1200,2,2,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,368,3,Puarent,1600,2,1,108
Super built-up  Area,Ready To Move,Billekahalli,369,3,MaionPa,1935,3,2,110
Super built-up  Area,18-May,8th Phase JP Nagar,370,1,Maian M,451,1,0,29.9
Super built-up  Area,Ready To Move,Electronic City,371,3,ShstaAl,1800,3,2,95
Super built-up  Area,18-May,Jalahalli,372,3,Shard T,1400,3,0,77
Super built-up  Area,Ready To Move,Hegde Nagar,373,3,SoitaCa,1801,3,2,115
Built-up  Area,Ready To Move,Mahadevpura,374,2,Neagar ,1451,2,,90
Plot  Area,19-Jan,Anekal,375,2,,1200,1,1,36
Super built-up  Area,Ready To Move,Begur Road,376,2,Dhalsh ,1160,2,2,44
Built-up  Area,Ready To Move,Kengeri,377,2,,1000,2,1,25
Super built-up  Area,Ready To Move,Kanakpura Road,378,2,Wiowsri,950,2,1,40
Built-up  Area,20-Dec,"Hoodi Circle, ",379,3,,1629,3,2,79
Built-up  Area,Ready To Move,Vijayanagar,380,3,,1580,2,0,134
Super built-up  Area,21-Jun,Vijayanagar,380,3,Saityat,1826,3,2,121
Built-up  Area,Ready To Move,7th Phase JP Nagar,381,2,Eladero,1245,2,1,94
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,382,2,Lancyey,1145,2,2,45.79
Super built-up  Area,Ready To Move,Sompura,383,2,Suiseit,825,2,1,33
Super built-up  Area,18-Aug,Yeshwanthpur,384,3,Aroomba,1693,3,3,108
Super built-up  Area,Ready To Move,Electronics City Phase 1,385,2,Courf T,1113.27,2,2,53
Built-up  Area,Ready To Move,Ashirvad Colony,386,2,VMowsea,1460,2,1,58
Built-up  Area,Ready To Move,Doddathoguru,387,2,S onsMa,1050,2,1,32
Built-up  Area,Ready To Move,Dodda Nekkundi,388,2,Tuentpa,1260,2,2,55
Super built-up  Area,Ready To Move,K N Extension,389,6,,700,3,,120
Built-up  Area,Ready To Move,Hosur Road,390,2,Tovesee,1656,2,1,120
Super built-up  Area,Ready To Move,Chandapura,391,3,Vailsaf,1208,3,1,45
Super built-up  Area,Ready To Move,Whitefield,392,3,BrlisCo,1910,3,2,161
Super built-up  Area,Ready To Move,Whitefield,392,4,Haestt ,3252,4,1,230
Plot  Area,Ready To Move,Battarahalli,393,2,,1200,2,1,65
Super built-up  Area,Ready To Move,Gokula Extension,394,4,,1200,4,1,175
Super built-up  Area,Ready To Move,7th Phase JP Nagar,395,2,BriumMi,1175,2,1,82
Plot  Area,Ready To Move,Kamakshipalya,396,2,,1000,2,0,165
Plot  Area,Ready To Move,Bannerghatta Road,397,4,,1200,2,0,125
Super built-up  Area,Ready To Move,Rajaji Nagar,398,3,PhestOn,2390,3,2,410
Super built-up  Area,19-Jan,Rajaji Nagar,398,7,,12000,6,3,2200
Plot  Area,Ready To Move,Sultan Palaya,399,2,,550,1,1,62
Super built-up  Area,Ready To Move,Kengeri,400,1,,34.46,1,0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,401,2,Hoxiaa ,1185,2,,38
Super built-up  Area,Ready To Move,Kengeri,402,2,VBvenal,750,2,1,38
Plot  Area,Ready To Move,Mahalakshmi Layout,403,6,,1200,7,3,250
Super built-up  Area,Ready To Move,Kanakpura Road,404,3,JRrnauv,1550,3,3,64.5
Built-up  Area,Ready To Move,Amco Colony,405,3,Hoeatan,1760,3,2,88
Super built-up  Area,Ready To Move,Billekahalli,406,2,Asity S,1125,2,2,62
Plot  Area,Ready To Move,Nagarbhavi,407,3,,1350,3,2,150
Plot  Area,17-Dec,Anandapura,408,2,,1000,2,1,55
Built-up  Area,18-Aug,Bommasandra Industrial Area,409,2,,1090,2,2,31.48
Plot  Area,Ready To Move,TC Palaya,410,2,,1200,2,0,60
Super built-up  Area,Ready To Move,Budigere,411,3,PrityTr,1991,4,2,103
Super built-up  Area,18-Oct,Bommasandra,412,2,DSoodil,1060,2,1,26.5
Super built-up  Area,Ready To Move,Ambalipura,413,2,SJarkte,1105,2,1,75
Built-up  Area,Ready To Move,Hoodi,414,2,Dhgraas,985,2,2,67
Plot  Area,Ready To Move,Chandapura,415,6,,1533,5,3,85
Super built-up  Area,17-Jul,Balagere,416,3,HiqueMa,1590,3,2,79
Super built-up  Area,Ready To Move,CV Raman Nagar,417,2,Srshq T,1120,2,2,55
Super built-up  Area,Ready To Move,Samethanahalli,418,2,SPontna,1069,2,1,55
Super built-up  Area,Ready To Move,Marathahalli,419,3,Prionad,1933,3,2,140
Built-up  Area,16-Mar,Hosur Road,420,2,PuendWe,1194,2,0,69
Super built-up  Area,Ready To Move,Brookefield,421,2,Danna S,1150,2,3,69
Super built-up  Area,Ready To Move,Yelenahalli,422,2,,1240,2,2,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,423,2,GrrvaGr,1419,2,2,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,424,8,,1200,8,,250
Super built-up  Area,Ready To Move,Richmond Town,425,3,Bltonin,2150,4,,240
Super built-up  Area,Ready To Move,Suddaguntepalya,426,3,MSanaer,1450,3,2,55
Super built-up  Area,18-Jul,Udayapur Village,427,3,Plowsri,1630,3,2,68.29
Super built-up  Area,Ready To Move,Dasanapura,428,2,Tavenew,708,1,1,40
Plot  Area,Ready To Move,Kasavanhalli,429,3,,1000,4,3,110
Plot  Area,Ready To Move,Whitefield,430,4,,11890,4,3,700
Super built-up  Area,Ready To Move,Bellandur,431,2,Ocavees,1250,2,1,76
Super built-up  Area,Ready To Move,7th Phase JP Nagar,432,3,Brnia G,1400,2,1,95
Super built-up  Area,Ready To Move,Sarjapur  Road,433,3,,1670,2,3,57
Super built-up  Area,Ready To Move,Ardendale,434,3,SoystAm,1750,3,2,100
Super built-up  Area,Ready To Move,Vittasandra,435,2,Prlla C,1404,2,1,71
Super built-up  Area,Ready To Move,Hoodi,436,3,SMaxyay,1715,2,2,95
Built-up  Area,18-Apr,Electronic City,437,1,Prarkun,630,1,1,34.65
Super built-up  Area,Ready To Move,Harlur,438,3,SosicCl,1752.12,3,2,135
Super built-up  Area,Ready To Move,Hulimavu,439,3,,1650,3,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,440,2,GrrvaGr,1295,2,1,55.47
Plot  Area,Ready To Move,Giri Nagar,441,3,Bancyri,1800,3,2,252
Super built-up  Area,18-Sep,Sarjapur  Road,442,2,PualeSk,1346,2,1,74.03
Plot  Area,Ready To Move,Thippasandra,443,4,,1200,4,2,200
Super built-up  Area,Ready To Move,Hormavu,444,2,ElavuHo,1150,2,2,55
Built-up  Area,Ready To Move,Chikkabidarakallu,445,4,Gontyol,3309,4,3,325
Super built-up  Area,18-May,Chandapura,446,3,SunceEs,1190,2,2,30.35
Super built-up  Area,Ready To Move,AECS Layout,447,3,DSutyng,1620,3,2,98
Super built-up  Area,18-Apr,Marathahalli,448,2,,950,2,1,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,449,11,Bancyri,5000,9,3,360
Super built-up  Area,Ready To Move,Harlur,450,3,SrEndPo,2450,3,0,120
Super built-up  Area,18-May,Electronic City Phase II,451,3,Sryalan,1220,2,1,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,452,2,RKntsrt,850,2,1,30
Built-up  Area,Ready To Move,Padmanabhanagar,453,2,,1020,2,2,63
Built-up  Area,Ready To Move,Chikkalasandra,454,2,,1100,2,2,50
Super built-up  Area,Ready To Move,Defence Colony,455,2,Vantspa,1150,2,2,126
Super built-up  Area,18-Dec,Hebbal,456,3,Mahosya,1760,2,2,130
Super built-up  Area,Ready To Move,Ambalipura,457,3,,1800,3,3,110
Super built-up  Area,Ready To Move,Akshaya Nagar,458,2,,1070,2,1,54
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,459,4,,1500,4,2,220
Plot  Area,Ready To Move,Vidyaranyapura,460,2,,1440,2,0,95
Super built-up  Area,Ready To Move,Amruthahalli,461,2,Prowsi ,900,2,1,40
Built-up  Area,Ready To Move,ITI Employees Layout,462,4,,1200,4,1,230
Super built-up  Area,18-May,Whitefield,463,2,SMuilan,1130,2,1,42.16
Super built-up  Area,Ready To Move,Koramangala,464,2,Proodt ,1320,2,1,165
Super built-up  Area,19-Jun,Kodigehalli,465,2,,1270,2,1,98
Built-up  Area,Ready To Move,Patelappa Layout,466,2,Sryamar,1200,2,1,62
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,467,4,,4800,4,,235
Super built-up  Area,Ready To Move,NS Palya,468,2,,1200,2,1,74
Super built-up  Area,Ready To Move,Subramanyapura,469,2,Prldsri,929,2,0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,470,4,LiaveEn,1150,4,2,260
Plot  Area,Ready To Move,Basavangudi,471,4,,1125,4,3,180
Plot  Area,Ready To Move,Kenchenahalli,472,5,,500,3,2,65
Plot  Area,Ready To Move,3rd Block Hrbr Layout,473,5,Bemesrm,1200,5,2,190
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,474,3,,1464,3,2,56
Super built-up  Area,Ready To Move,7th Phase JP Nagar,475,4,,3600,4,3,400
Plot  Area,Ready To Move,Bank Avenue,476,4,,2000,4,2,99
Super built-up  Area,Ready To Move,Chikkalasandra,477,2,,1208,2,1,49
Super built-up  Area,Ready To Move,Hebbal Kempapura,478,2,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,Surabhi Layout,479,3,VDdonel,1753,3,2,120
Super built-up  Area,Ready To Move,Old Madras Road,480,5,Brica E,4500,7,3,337
Plot  Area,Ready To Move,Banjara Layout,481,3,,600,3,2,58
Super built-up  Area,22-Jun,Hoodi,482,2,GoAirej,1196,2,2,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,483,2,Prenty ,1150,3,3,52.5
Super built-up  Area,18-Apr,Electronic City,484,2,Prarkun,1128,2,1,63
Super built-up  Area,Ready To Move,Omkar Nagar,485,2,Shinei ,1000,2,1,53
Super built-up  Area,Ready To Move,Yelahanka,486,2,Apows M,1035,2,1,45
Built-up  Area,Ready To Move,Kereguddadahalli,487,2,,950,2,1,32
Super built-up  Area,Ready To Move,Bisuvanahalli,488,3,Prityel,1075,2,1,36
Super built-up  Area,Ready To Move,Whitefield,489,2,SVineun,1040,2,1,48.5
Plot  Area,17-Oct,Maragondanahalli,490,2,,720,2,1,45
Super built-up  Area,Ready To Move,Lingadheeranahalli,491,3,Soiewre,1511,3,1,95
Built-up  Area,Ready To Move,Silk Board,492,3,,1300,3,1,58
Super built-up  Area,19-Dec,Hoodi,493,3,Caycend,1545,3,1,68.75
Built-up  Area,Ready To Move,Shampura,494,1,,375,2,0,26
Super built-up  Area,Ready To Move,Vidyaranyapura,495,2,,1062,2,3,38
Super built-up  Area,Ready To Move,Kada Agrahara,496,2,,1115,2,1,40
Super built-up  Area,Ready To Move,JP Nagar,497,2,DSvvyx ,1000,2,1,35
Super built-up  Area,17-May,Kambipura,498,2,Prrtht ,883,2,1,45
Super built-up  Area,19-Apr,Sarjapur  Road,499,2,Brareio,1195,2,1,70
Plot  Area,Ready To Move,BHEL Layout,500,4,,1200,3,1,165
Built-up  Area,Ready To Move,Medahalli,501,1,,700,1,0,41
Super built-up  Area,Ready To Move,Vittasandra,502,2,Prlla C,1246,2,1,67
Plot  Area,Ready To Move,8th Phase JP Nagar,503,4,,660,4,2,90
Plot  Area,Ready To Move,Banashankari Stage III,504,4,,8500,4,2,145
Super built-up  Area,Ready To Move,Kashi Nagar,505,4,,1600,4,1,80
Super built-up  Area,18-Dec,Haralur Road,506,4,SNnia E,2805,5,3,154
Super built-up  Area,Ready To Move,Begur Road,507,3,,1584,3,,65
Plot  Area,Ready To Move,Sector 7 HSR Layout,508,4,,3000,5,1,275
Built-up  Area,Ready To Move,Hosur Road,509,3,,1175,2,2,48
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",510,3,,1595,3,2,115
Super built-up  Area,Ready To Move,VHBCS Layout,511,2,OlarkLa,1353,2,2,110
Super built-up  Area,18-Apr,Electronic City,512,3,Prarkun,1599,3,2,125
Super built-up  Area,Ready To Move,Whitefield,513,2,SuMTBPr,1150,2,1,70
Super built-up  Area,17-Dec,Jakkur,514,4,Lecco C,5230,6,1,465
Super built-up  Area,Ready To Move,KR Puram,515,2,Jahidva,1155,2,2,42.74
Built-up  Area,Ready To Move,Ittamadu,516,1,,1200,2,0,85
Super built-up  Area,18-Jul,Electronic City Phase II,517,2,,1000,2,1,25
Super built-up  Area,Ready To Move,Thanisandra,518,4,,3000,4,,120
Built-up  Area,Ready To Move,Rajiv Nagar,519,3,PuoodSk,1867,3,1,160
Super built-up  Area,18-Jun,Ramagondanahalli,520,2,ViistLa,1251,2,1,47
Super built-up  Area,18-Apr,Gattahalli,521,2,Arano M,1028,2,1,45.5
Super built-up  Area,Ready To Move,Arekere,522,2,Amngsag,1222,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,523,3,SNity S,1170,2,1,66
Super built-up  Area,Ready To Move,Hebbal,524,3,Kacesh ,2400,4,1,245
Super built-up  Area,Ready To Move,Ramanjaneyanagar,525,3,,1385,2,2,48.48
Super built-up  Area,Ready To Move,HSR Layout,526,2,SrisePo,1372,2,1,68
Super built-up  Area,Ready To Move,Magadi Road,527,3,Bilya A,1282,2,2,49
Super built-up  Area,Ready To Move,Mico Layout,528,9,Amsomun,5000,9,3,210
Built-up  Area,Ready To Move,7th Block Jayanagar,529,5,,3000,3,1,528
Super built-up  Area,Ready To Move,Kanakpura Road,530,2,Shdhia ,1135,2,1,39.73
Built-up  Area,20-Dec,Whitefield,531,3,,1768,3,2,101
Built-up  Area,Ready To Move,Byatarayanapura,532,3,Foconna,1325,2,1,90
Super built-up  Area,18-Apr,Electronic City,533,3,Prarkun,1599,3,2,99
Plot  Area,18-Mar,Whitefield,534,3,,1500,3,1,61.95
Plot  Area,Ready To Move,2nd Phase JP Nagar,535,3,,2610,3,0,499
Super built-up  Area,Ready To Move,Uttarahalli,536,2,,1286,2,2,63
Built-up  Area,Ready To Move,Kammanahalli,537,5,,2845,5,1,140
Super built-up  Area,Ready To Move,K G Colony,538,3,Aincy R,1600,2,,50
Super built-up  Area,18-Sep,Hennur Road,539,2,Shxorm ,1195,2,0,63.77
Super built-up  Area,Ready To Move,Hebbal,540,3,Brium C,3450,5,2,260
Super built-up  Area,18-Apr,Munnekollal,541,2,Sadhii ,1102,2,2,53.67
Super built-up  Area,Ready To Move,Yelahanka,542,2,Sahanra,1350,2,2,54
Super built-up  Area,Ready To Move,Banashankari,543,3,,1200,2,2,42
Plot  Area,Ready To Move,Hosa Road,544,6,,1300,6,0,145
Plot  Area,Ready To Move,Herohalli,545,2,,1800,1,1,80
Built-up  Area,Ready To Move,Chikkabanavar,546,2,,950,2,1,40
Super built-up  Area,21-Dec,Kanakpura Road,547,1,PrarePa,525,1,1,27.25
Built-up  Area,Ready To Move,Attibele,548,2,Jae 2hu,656,2,1,25
Plot  Area,Ready To Move,Marathahalli,549,4,,1780,4,3,175
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,550,2,Icncy R,1056,2,1,80
Super built-up  Area,21-Feb,Bannerghatta Road,551,1,Hiatei ,595,1,1,33.32
Built-up  Area,Ready To Move,Ittamadu,552,2,,1080,2,2,50
Super built-up  Area,19-Dec,7th Phase JP Nagar,553,3,Puarero,2225,3,1,160
Super built-up  Area,18-Aug,Bommasandra,554,2,DSoodil,1126,2,1,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,555,3,GaicaVe,1490,3,1,84
Plot  Area,Ready To Move,HRBR Layout,556,4,,2000,4,1,300
Super built-up  Area,Ready To Move,Sarjapur  Road,557,3,PuineSu,1550,3,3,100
Super built-up  Area,Ready To Move,,558,3,Grare S,1600,3,2,86
Built-up  Area,Ready To Move,Ashwini layout,559,2,,1160,2,1,55
Built-up  Area,Ready To Move,Whitefield,560,4,PrOakSi,4144,4,3,315
Super built-up  Area,Ready To Move,Sarjapur  Road,561,3,Supleon,2100,3,2,125
Super built-up  Area,Ready To Move,Vittasandra,562,2,Prlla C,1404,2,1,69.3
Plot  Area,Ready To Move,Sarjapur  Road,563,4,LGestbo,2230,4,3,225
Super built-up  Area,Ready To Move,Marathalli bridge,564,3,,1544,3,,120
Super built-up  Area,18-May,Banashankari Stage III,565,3,Pridsi ,1305,2,1,58.7
Super built-up  Area,Ready To Move,Marathahalli,566,2,Aahts H,1230,2,2,80
Plot  Area,Ready To Move,T.C PALYA,567,2,,1200,2,0,65
Super built-up  Area,Ready To Move,Harlur,568,3,,1460,3,1,73
Plot  Area,Immediate Possession,Sarjapur  Road,569,,Asiss B,1200,,,34.185
Built-up  Area,Ready To Move,Gottigere,570,2,,967,2,3,45
Built-up  Area,Ready To Move,Byatarayanapura,571,1,,540,1,1,36
Super built-up  Area,19-Dec,Hormavu,572,1,Kolisl ,715,1,2,46
Super built-up  Area,Ready To Move,Whitefield,573,3,Toindls,2500,3,2,313
Super built-up  Area,Ready To Move,Dooravani Nagar,574,3,Puceswn,1578,3,1,180
Super built-up  Area,Ready To Move,Mysore Road,575,2,,1020,2,1,48.95
Super built-up  Area,Ready To Move,Jigani,576,2,i1odsne,1020,2,1,40
Super built-up  Area,Ready To Move,Koramangala,577,2,Ansna K,1253,2,1,102
Super built-up  Area,Ready To Move,JCR Layout,578,2,ARnamru,1180,2,2,42
Super built-up  Area,Ready To Move,Nehru Nagar,579,2,Veyalin,961,2,2,38
Built-up  Area,Ready To Move,Kanakapura,580,3,,1419,3,3,75
Super built-up  Area,Ready To Move,Harlur,581,3,SomonCi,1709,3,2,150
Plot  Area,Ready To Move,Papareddipalya,582,2,,1600,2,0,115
Super built-up  Area,18-Jul,Venkatapura,583,1,,416,1,1,18.5
Carpet  Area,Ready To Move,Sanjay nagar,584,2,,1100,2,2,98
Super built-up  Area,Ready To Move,HSR Layout,585,3,,1430,2,1,65
Super built-up  Area,Ready To Move,Sneha Colony,586,2,Daill S,1260,2,2,45
Built-up  Area,Ready To Move,RMV Extension,587,3,DSureSi,1630,3,2,85
Super built-up  Area,19-May,Sarjapur  Road,588,3,Soini T,1249,3,2,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,589,3,MancyRe,1450,2,3,85
Super built-up  Area,17-Nov,Konanakunte,590,3,Prasa W,2791,3,1,223
Super built-up  Area,Ready To Move,Hosapalya,591,1,,600,1,0,90
Built-up  Area,Ready To Move,Ashwini layout,592,1,Kaantth,834,1,1,60
Plot  Area,Ready To Move,Doddagubbi,593,3,,1125,4,1,70
Super built-up  Area,Ready To Move,Arekere,594,3,,2060,3,2,140
Super built-up  Area,19-Jan,Malleshwaram,595,7,,12000,7,3,2200
Built-up  Area,Ready To Move,Gottigere,596,2,Drente ,891,2,1,25
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,597,2,GrrvaGr,1133,2,1,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,598,3,Prityel,1075,2,1,37
Super built-up  Area,18-May,Sector 6 HSR Layout,599,4,,3000,5,2,260
Plot  Area,Ready To Move,Brookefield,600,4,,2440,5,2,425
Built-up  Area,Ready To Move,Vidyaranyapura,601,2,,1200,2,2,55
Super built-up  Area,Ready To Move,Thanisandra,602,2,,1075,2,2,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,603,2,,1140,2,2,40
Plot  Area,Ready To Move,Margondanahalli,604,5,,940,4,2,150
Plot  Area,Ready To Move,ITI Layout,605,6,,2160,5,1,250
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,606,2,SGandea,1090,2,1,42
Built-up  Area,Ready To Move,R.T. Nagar,607,4,,1500,4,1,70
Super built-up  Area,Ready To Move,Whitefield,608,4,,4104,4,2,360
Super built-up  Area,Ready To Move,Whitefield,608,3,,1790,3,,100
Super built-up  Area,18-Dec,Hebbal,609,3,Mahosya,1920,3,2,134
Built-up  Area,Ready To Move,HRBR Layout,610,2,Eline P,1374,2,2,95
Carpet  Area,Ready To Move,Bannerghatta Road,611,3,,1445,3,2,95
Super built-up  Area,19-Dec,Kanakapura,612,1,GoityEt,711,1,1,36
Super built-up  Area,Ready To Move,Tumkur Road,613,3,SosonGa,1500,3,3,95
Super built-up  Area,Ready To Move,Whitefield,614,3,Gotis A,1720,3,3,100
Super built-up  Area,Ready To Move,Vasanthapura,615,3,,1400,3,2,60
Built-up  Area,Ready To Move,Kundalahalli,616,2,,1030,2,2,49
Super built-up  Area,Ready To Move,Mysore Road,617,2,PrntaEn,1200,2,1,85
Carpet  Area,18-Jul,Hosahalli,618,3,NSezeBr,1375,3,2,70
Plot  Area,Ready To Move,Hegde Nagar,619,2,,1050,1,,56
Super built-up  Area,Ready To Move,Jalahalli,620,3,Tahtsla,2250,3,2,160
Super built-up  Area,Ready To Move,Bellandur,621,2,Sronda ,1000,2,2,50
Super built-up  Area,Ready To Move,Jalahalli West,622,1,Prntsax,469,1,0,25
Super built-up  Area,Ready To Move,Marathahalli,623,4,PueraRi,3800,4,3,250
Super built-up  Area,Ready To Move,Kambipura,624,2,Prrtht ,883,2,1,29
Super built-up  Area,Ready To Move,GM Palaya,625,3,Chnts A,1820,2,3,86
Built-up  Area,Ready To Move,Singasandra,626,3,,1440,2,3,65
Super built-up  Area,Ready To Move,near Ramanashree California resort,627,6,,3600,4,1,160
Built-up  Area,Ready To Move,Malleshwaram,628,4,GaityEt,2500,5,2,325
Super built-up  Area,18-Aug,Mahadevpura,629,2,,1225,2,2,48
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",630,3,,4000,3,1,660
Carpet  Area,Ready To Move,Chikkalasandra,631,2,,875,2,3,52.8
Super built-up  Area,Ready To Move,Jalahalli East,632,1,ShshaSa,750,1,2,40
Super built-up  Area,Ready To Move,6th Phase JP Nagar,633,2,,1180,2,3,80
Super built-up  Area,Ready To Move,Haralur Road,634,2,,1194,2,2,47
Super built-up  Area,Ready To Move,Hennur Road,635,3,,1500,2,2,62
